timestamp,city,latitude,longitude,temperature_2m,relative_humidity_2m,precipitation,rain,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,soil_temperature_0cm,soil_moisture_0_to_1cm
2026-05-15T00:00,Chennai,13.0827,80.2707,28.6,84,0.3,0.3,1001.8,3.7,39,99,,
2026-05-15T01:00,Chennai,13.0827,80.2707,28.5,84,0.0,0.0,1001.3,0.9,79,100,,
2026-05-15T02:00,Chennai,13.0827,80.2707,28.3,84,0.1,0.1,1000.9,3.2,164,98,,
2026-05-15T03:00,Chennai,13.0827,80.2707,28.0,85,0.1,0.1,1000.6,4.0,243,87,,
2026-05-15T04:00,Chennai,13.0827,80.2707,27.8,87,0.0,0.0,1000.7,4.9,270,81,,
2026-05-15T05:00,Chennai,13.0827,80.2707,28.5,84,0.0,0.0,1001.6,1.6,276,99,,
2026-05-15T06:00,Chennai,13.0827,80.2707,28.1,88,0.3,0.3,1002.0,2.9,240,100,,
2026-05-15T07:00,Chennai,13.0827,80.2707,29.1,82,0.4,0.4,1002.5,7.0,305,100,,
2026-05-15T08:00,Chennai,13.0827,80.2707,30.6,71,0.6,0.6,1002.8,9.3,338,100,,
2026-05-15T09:00,Chennai,13.0827,80.2707,31.5,66,0.5,0.5,1002.5,12.2,360,98,,
2026-05-15T10:00,Chennai,13.0827,80.2707,32.5,62,0.8,0.8,1003.5,10.9,17,100,,
2026-05-15T11:00,Chennai,13.0827,80.2707,33.0,60,0.4,0.4,1002.7,14.9,23,99,,
2026-05-15T12:00,Chennai,13.0827,80.2707,32.7,60,0.0,0.0,1002.2,12.2,31,100,,
2026-05-15T13:00,Chennai,13.0827,80.2707,29.1,78,1.2,1.2,1002.8,13.1,99,100,,
2026-05-15T14:00,Chennai,13.0827,80.2707,27.1,87,0.3,0.3,1001.8,15.6,123,100,,
2026-05-15T15:00,Chennai,13.0827,80.2707,28.1,80,0.0,0.0,1000.9,8.3,94,100,,
2026-05-15T16:00,Chennai,13.0827,80.2707,28.0,80,0.0,0.0,1000.9,7.4,137,100,,
2026-05-15T17:00,Chennai,13.0827,80.2707,28.6,86,0.0,0.0,1001.2,11.0,94,100,,
2026-05-15T18:00,Chennai,13.0827,80.2707,28.4,87,0.0,0.0,1001.8,9.0,121,100,,
2026-05-15T19:00,Chennai,13.0827,80.2707,28.4,86,0.0,0.0,1002.2,6.4,130,100,,
2026-05-15T20:00,Chennai,13.0827,80.2707,28.4,86,0.0,0.0,1002.9,8.2,122,100,,
2026-05-15T21:00,Chennai,13.0827,80.2707,28.3,87,0.0,0.0,1003.2,7.2,109,100,,
2026-05-15T22:00,Chennai,13.0827,80.2707,28.2,88,0.0,0.0,1003.3,3.9,127,100,,
2026-05-15T23:00,Chennai,13.0827,80.2707,28.0,96,1.0,1.0,1002.5,6.5,228,100,,
2026-05-13T00:00,Kolkata,22.5726,88.3639,27.5,82,0.0,0.0,1004.3,8.3,174,23,,
2026-05-13T01:00,Kolkata,22.5726,88.3639,27.2,83,0.0,0.0,1003.8,7.8,187,30,,
2026-05-13T02:00,Kolkata,22.5726,88.3639,27.1,82,0.0,0.0,1003.2,9.2,179,1,,
2026-05-13T03:00,Kolkata,22.5726,88.3639,26.8,83,0.0,0.0,1003.3,8.6,180,5,,
2026-05-13T04:00,Kolkata,22.5726,88.3639,26.6,84,0.0,0.0,1003.5,7.8,171,11,,
2026-05-13T05:00,Kolkata,22.5726,88.3639,27.0,86,0.0,0.0,1003.6,7.0,177,12,,
2026-05-13T06:00,Kolkata,22.5726,88.3639,27.9,84,0.0,0.0,1004.7,7.2,174,16,,
2026-05-13T07:00,Kolkata,22.5726,88.3639,29.0,79,0.0,0.0,1005.0,8.7,184,29,,
2026-05-13T08:00,Kolkata,22.5726,88.3639,30.5,71,0.0,0.0,1005.2,10.4,198,18,,
2026-05-13T09:00,Kolkata,22.5726,88.3639,31.8,66,0.0,0.0,1005.1,9.7,198,16,,
2026-05-13T10:00,Kolkata,22.5726,88.3639,32.7,62,0.0,0.0,1004.7,9.6,192,10,,
